id,source,target,type,label,date,outcome,presetTags,title
e335,YOL_PER_0069,YOL_PRD_0003,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e336,YOL_PER_0069,YOL_PRD_0006,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e337,YOL_PER_0069,YOL_TRA_0005,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e338,YOL_PER_0070,C_MAHAMUDRA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e339,EXT_PER_0006,EXT_TRA_0001,underpinning,associated with,,,"[""nyingma""]",Entity ↔ Underpinning association
e340,EXT_PER_0006,T_MAHAYANA,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e341,EXT_PER_0006,YOL_PRA_0007,underpinning,associated with,,,"[""kagyu""]",Entity ↔ Underpinning association
e342,EXT_PER_0006,YOL_TRA_0001,underpinning,associated with,,,"[""nyingma""]",Entity ↔ Underpinning association
e343,EXT_PER_0006,YOL_TRA_0012,underpinning,associated with,,,[],Entity ↔ Underpinning association
e344,YOL_PER_0071,C_MAHAMUDRA,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e345,YOL_PER_0071,T_KAGYU,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e346,YOL_PER_0071,YOL_PRA_0007,underpinning,associated with,,,"[""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e347,YOL_PER_0071,YOL_PRD_0006,underpinning,associated with,,,"[""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e348,YOL_PER_0071,YOL_PRD_0007,underpinning,associated with,,,"[""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e349,YOL_PER_0071,YOL_TRA_0010,underpinning,associated with,,,"[""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e350,YOL_PER_0072,C_MAHAMUDRA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
